list/name,list/score,price,
优派 VP2468A,4541,,
SANC G5,4536,,
acer VG240YS,4521,,
熊猫 PH24FA5,4478,,
华为MateView,3849,,
AGON AG274UXP,3819,,
联想 Y27gq-25,3808,,
飞利浦 275M8RZ,3803,,
联想隐士,3802,,
宏碁XB323U GX,3796,,
外星人AW2521H,3776,,
飞利浦 275M1RZ,3729,,
联想 Y27Q-20,3726,,
微星 PS321QR,3718,,
飞利浦 242E2FE,3675,,
飞利浦242M8,3668,,
优派 VP2768A,3645,,
小米 小米1A,3571,,
小米24.5英寸240Hz,2883,,
三星S49AG950NC,2871,,
小米 24.5英寸144Hz,2861,,
小米24.5英寸165Hz版,2842,,
卓威XL2546K,2829,,
华为MateviewGT,2821,,
微星G273Q,2777,,
acer X25,2752,,
飞利浦24M1N5500,2747,,
acer XV282K,2741,,
华为 24吋显示器,2705,,
微星PS321QR,1985,,
华硕 PG259QNR,1968,,
华硕PG259QNR,1948,,
三星NEO G9,1928,,
小米24.5英寸240Hz版,1924,,
小米24.5英寸165Hz,1908,,
华为MateViewGT,1887,,
Acer XV282K,1875,,
爱攻AG275QXE,1846,,
飞利浦24M1N5500Z,1846,,
锤子TNT go,1833,,
卓威 XL2546K,1797,,
三星Neo G9,999,,
联想隐士Exteme,998,,
华硕 PG32UQX,997,,
宏碁XB323U,996,,
MacBookPro16,995,,
联想隐士EXTREME,995,,
微星PAG272QR2,993,,
外星人 AW2521H,993,,
华硕PG329Q,992,,
TNT go,989,,
Acer X25,988,,
微星G273QPF,988,,
飞利浦 279M1RV,987,,
acer X25(开启Max),986,,
微星MAG274QRF-QD,985,,
技嘉FI27Q-X,981,,
飞利浦275M1RZ,980,,
联想Y27Q-20,978,,
AGON AG273UXP,976,,
微星MEG381CQR,972,,
飞利浦 24M1N5500z,969,,
优派VX3220,967,,
爱攻AG274UXP,967,,
ROG XG279Q,967,,
雷神银翼,964,,
联想 Y27Q-30,961,,
华为mateviewGT,961,,
小米 24.5寸,955,,
小米 24.5英寸240Hz,954,,
华硕XG27AQM,952,,
小米 24.5英寸144hz,952,,
32GQ850,943,,
宏碁 XB273U GS,942,,
宏碁XV282K,941,,
KTC G42P5(26%APL),939,,
技嘉 M27Q,938,,
微星 G273Q,936,,
小米24.5英寸144Hz版,934,,
华为Mateview,934,,
联想Y27gq-25,933,,
小米 24.5英寸165Hz,930,,
索尼U27M90(M9),928,,
华为 24英寸显示器,927,,
宏碁VG240YS,926,,
优派 VX3418-2k-pro,921,,
飞利浦275M8RZ,914,,
微星MPG343CQR,911,,
TNT GO,899,,
华为MateviewGT27,897,,
锤子TNT GO,885,,
ROG PG259QNR,884,,
华为 24寸显示器,883,,
